run_id,run_tag,timestamp,backbone,feature_layers,target_layer,input_size,coreset_frac,coreset_fp16,coreset_algo,coreset_batch,patch_size,knn_k,smooth_sigma,tta,memory_dtype,batch_size,score_batch_size,score_chunk,memory_chunk,project_chunk,seed,n_classes,AP_class_01,AP_class_02,AP_class_03,AP_class_04,AP_class_05,AP_class_06,AP_class_07,AP_class_08,AP_overall,runtime_min,submission_path,notes,AP_pooled
20260515-202731_cutpaste-patchcore_rn50_in256_it2500_bs32_pc_cs05mb128_tta-hvflip_exp8d-cutpaste-rn50-pcnn_e9a458,exp8d-cutpaste-rn50-pcnn,2026-05-15 22:32:34,resnet50,1+2+3,2,256,,,,,,,1.5,hvflip,,32,12,,,,0,8,0.4200,0.3423,0.1367,0.3053,0.3884,0.5224,0.3074,0.4376,0.3575,125.1,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-202731_cutpaste-patchcore_rn50_in256_it2500_bs32_pc_cs05mb128_tta-hvflip_exp8d-cutpaste-rn50-pcnn_e9a458/submission.zip,cutpaste v3 scorer=patchcore it2500 bs32,
stacker_1d5533,stacker-logreg-exp7-exp8c-exp8d,2026-05-16 00:18:33,STACKER_LOGREG,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,baseline_out/runs/stacker_logreg_exp7_exp8c_exp8d/submission.zip,"logreg stacker on 3 methods (rank_norm=1, C=1.0, neg_per_pos=30)",
stacker_xgb_4a30e3,stacker-xgb-A,2026-05-16 02:40:05,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-020854_stacker_xgb_A/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=none | calibrate=none,
stacker_xgb_4a30e3,stacker-xgb-A,2026-05-16 02:42:22,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-021137_stacker_xgb_A/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=none | calibrate=none,
stacker_xgb_4a30e3,stacker-xgb-B,2026-05-16 05:55:57,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-020854_stacker_xgb_B/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=per-class | calibrate=none,
stacker_xgb_4a30e3,stacker-xgb-B,2026-05-16 05:57:03,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-021137_stacker_xgb_B/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=per-class | calibrate=none,
stacker_xgb_4a30e3,stacker-xgb-C,2026-05-16 09:11:24,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-020854_stacker_xgb_C/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=per-class | calibrate=isotonic,
stacker_xgb_4a30e3,stacker-xgb-C,2026-05-16 09:12:48,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-021137_stacker_xgb_C/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=per-class | calibrate=isotonic,
stacker_xgb_4a30e3,stacker-xgb-D,2026-05-16 12:26:12,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-020854_stacker_xgb_D/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=per-class | calibrate=platt,
stacker_xgb_4a30e3,stacker-xgb-D,2026-05-16 14:16:54,STACKER_XGB_V2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-110054_stacker_xgb_D/submission.zip,xgb v2 | M=8 | F=177 | rank_norm=1 | tune=per-class | calibrate=platt,
